County,Constituency,Sub-County,IEBC_CN,IEBC-CC,IEBC-CN,IEBC-CONSC,VOTERS,ColCODE,ConstNAME,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Kiambu,Kikuyu,Kikuyu,KIKUYU ,22,KIAMBU ,120,98758,120,Kikuyu,68631874,98025521,103799411,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Kiambu,Limuru,Limuru,LIMURU ,22,KIAMBU ,121,93019,121,Limuru,71756880,102759987,108855971,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Kiambu,Lari,Lari,LARI ,22,KIAMBU ,122,81196,122,Lari,69573221,99451687,105322602,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Turkana,Turkana North,Turkana North,TURKANA NORTH,23,TURKANA ,123,42937,123,Turkana-North,97306777,141468751,150198152,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184129901,188414052.2,202243910
Turkana,Turkana West,Turkana West,TURKANA WEST,23,TURKANA ,124,42673,124,Turkana-West,116070134,169895727,180559059,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,158832745,192897991,197386149.9,211874573
Turkana,Turkana Central,Turkana Central,TURKANA CENTRAL,23,TURKANA ,125,55971,125,Turkana-Central,89136726,129090909,136978226,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Turkana,Loima,Loima,LOIMA ,23,TURKANA ,126,36515,126,Loima,90624556,131345010,139385677,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Turkana,Turkana South,Turkana South,TURKANA SOUTH,23,TURKANA ,127,40432,127,Turkana-South,93426132,135589471,143918895,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Turkana,Turkana East,Turkana East,TURKANA EAST,23,TURKANA ,128,20000,128,Turkana-East,83279781,120217483,127501128,81896551.72,98189655.17,109040875.5,137367724.1,137204879.3,137088879,131342462,157825629,161497759,173351923
West Pokot,Kapenguria,Kapenguria,KAPENGURIA ,24,WEST POKOT,129,66540,129,Kapenguria ,82288101,118715063,125896495,81896551.72,98189655.17,109040875.5,137367724.1,137134879.3,137088879,151960174,184129901,188414052.2,202243910
West Pokot,Sigor,Sigor,SIGOR ,24,WEST POKOT,130,43934,130,Sigor,75564691,108528920,115017373,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Murang’a,Kahuro,Kahuro,KACHELIBA ,24,WEST POKOT,131,51146,131,Kacheliba,93908056,136319599,144698695,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184129901,188414052.2,202243910
West Pokot,Pokot South,Pokot South,POKOT SOUTH,24,WEST POKOT,132,58406,132,Pokot-South,82914629,119664268,126910276,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Samburu,Samburu West,Samburu West,SAMBURU WEST,25,SAMBURU ,133,43390,133,Samburu-West,76050163,109264424,115802914,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Samburu,Samburu North,Samburu North,SAMBURU NORTH,25,SAMBURU ,134,29830,134,Samburu-North,75681472,108705847,115206337,81896551.72,98189655.17,109040875.5,137367724.1,137092879.3,137088879,151960174,184129901,188414052.2,202243910
Samburu,Samburu East,Samburu East,SAMBURU EAST,25,SAMBURU ,135,26794,135,Samburu-East,71145658,101833969,107866954,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Trans Nzoia,Kwanza,Kwanza,KWANZA ,26,TRANS NZOIA,136,75839,136,Kwanza,81242330,117130692,124204337,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Trans Nzoia,Endebess,Endebess,ENDEBESS ,26,TRANS NZOIA,137,50688,137,Endebess,71153805,101846313,107880138,81896551.72,98189655.17,109040875.5,137367724.1,137138879.3,137088879,131342462,157825629,161497759,173351923
Trans Nzoia,Saboti,Saboti,SABOTI ,26,TRANS NZOIA,138,87384,138,Saboti,75426946,108320233,114794489,81896551.72,98189655.17,109040875.5,137367724.1,137093879.3,137088879,145087603,175361810,179441954.5,192613248
Trans Nzoia,Kiminini,Kiminini,KIMININI ,26,TRANS NZOIA,139,93240,139,Kiminini,80952765,116691994,123735794,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184129901,188414052.2,202243910
Trans Nzoia,Cherangany,Cherangany,CHERANGANY ,26,TRANS NZOIA,140,91830,140,Cherangany,83145328,120013783,127283569,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,158832745,192897991,197386149.9,211874573
Uasin Gishu,Soy,Soy,SOY ,27,UASIN GISHU,141,92702,141,Soy,79156878,113971178,120829876,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,158832745,192897991,197386149.9,211874573
Uasin Gishu,Turbo,Turbo,TURBO ,27,UASIN GISHU,142,120202,142,Turbo,77368352,111261514,117935869,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184129901,188414052.2,202243910
Uasin Gishu,Moiben,Moiben,MOIBEN ,27,UASIN GISHU,143,77877,143,Moiben,74163788,106406516,112750579,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Uasin Gishu,Ainabkoi,Ainabkoi,AINABKOI ,27,UASIN GISHU,144,62606,144,Ainabkoi,69777798,99761627,105653627,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,131342462,157825629,161497759,173351923
Uasin Gishu,Kapseret,Kapseret,KAPSERET ,27,UASIN GISHU,145,74809,145,Kapseret,67792669,96754103,102441497,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175391410,179441954.5,192613248
Uasin Gishu,Kesses,Kesses,KESSES ,27,UASIN GISHU,146,77942,146,Kesses,72570295,103992333,110172155,81896551.72,98189655.17,109040875.5,137367724.1,137157879.3,137088879,138215033,166593720,170469856.7,182982585
Elgeyo-Marakwet,Marakwet East,Marakwet East,MARAKWET EAST,28,ELGEYO/MARAKWET ,147,43672,147,Marakwet-East,73436850,105305185,111574323,81896551.72,98189655.17,109040875.5,137367724.1,137157879.3,137088879,138215033,166601720,170469856.7,182982585
Elgeyo-Marakwet,Marakwet West,Marakwet West,MARAKWET WEST,28,ELGEYO/MARAKWET ,148,58568,148,Marakwet-West,77460899,111401725,118085619,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184141901,188414052.2,202243910
Elgeyo-Marakwet,Keiyo North,Keiyo North,KEIYO NORTH,28,ELGEYO/MARAKWET ,149,49247,149,Keiyo-North,66053271,94118870,99626985,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Elgeyo-Marakwet,Keiyo South,Keiyo South,KEIYO SOUTH,28,ELGEYO/MARAKWET ,150,62397,150,Keiyo-South,74946274,107592002,114016716,81896551.72,98189655.17,109040875.5,137367724.1,137093879.3,137088879,151960174,184129901,188414052.2,202243910
Nandi,Tinderet,Tinderet,TINDERET ,29,NANDI ,151,51446,151,Tinderet,75928357,109079884,115605820,81896551.72,98189655.17,109040875.5,137367724.1,137108879.3,137088879,138215033,166593720,170469856.7,182982585
Nandi,Aldai,Aldai,ALDAI ,29,NANDI ,152,78005,152,Aldai,77598455,111610126,118308199,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184129901,188414052.2,202243910
Nandi,Nandi Hills,Nandi Hills,NANDI HILLS,29,NANDI ,153,57910,153,Nandi-Hills,70068167,100201542,106123471,81896551.72,98189655.17,109040875.5,137367724.1,137109879.3,137088879,138215033,166603720,170469856.7,182982585
Nandi,Chesumei,Chesumei,CHESUMEI ,29,NANDI ,154,74201,154,Chesumei,71029957,101658679,107679740,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Nandi,Emgwen,Emgwen,EMGWEN ,29,NANDI ,155,66940,155,Emgwen,70488348,100838128,106803365,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Nandi,Mosop,Mosop,MOSOP ,29,NANDI ,156,77786,156,Mosop,75150991,107902154,114347967,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,158832745,192915991,197386149.9,211874573
Baringo,Tiaty,Tiaty,TIATY ,30,BARINGO ,157,39059,157,Tiaty,87002584,125857628,133524979,81896551.72,98189655.17,109040875.5,137367724.1,137102879.3,137088879,158832745,192897991,197386149.9,211874573
Baringo,Baringo North,Baringo North,BARINGO NORTH,30,BARINGO ,158,50287,158,Baringo-North,75016762,107698794,114130773,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Baringo,Baringo Central,Baringo Central,BARINGO CENTRAL,30,BARINGO ,159,45920,159,Baringo-Central,69949783,100022188,105931915,81896551.72,98189655.17,109040875.5,137367724.1,137254879.3,137088879,145087603,175361810,179441954.5,192664248
Baringo,Baringo South,Baringo South,BARINGO SOUTH,30,BARINGO ,160,42791,160,Baringo-South,70961468,101554917,107568918,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Baringo,Mogotio,Mogotio,MOGOTIO ,30,BARINGO ,161,38922,161,Mogotio,66563284,94891553,100452235,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,131342462,157825629,161497759,173351923
Baringo,Eldama Ravine,Eldama Ravine,ELDAMA RAVINE,30,BARINGO ,162,64074,162,Eldama-Ravine,67697361,96609709,102287280,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184129901,188414052.2,202243910
Laikipia,Laikipia West,Laikipia West,LAIKIPIA WEST,31,LAIKIPIA ,163,118865,163,Laikipia-West,86717871,125426280,133064286,81896551.72,98189655.17,109040875.5,137367724.1,137101879.3,137088879,151960174,184347901,188414052.2,202243910
Laikipia,Laikipia East,Laikipia East,LAIKIPIA EAST,31,LAIKIPIA ,164,96395,164,Laikipia-East,71575155,102484668,108561922,81896551.72,98189655.17,109040875.5,137367724.1,137097879.3,137088879,145087603,175361810,179441954.5,192613248
Laikipia,Laikipia North,Laikipia North,LAIKIPIA NORTH,31,LAIKIPIA ,165,47752,165,Laikipia-North,73494699,105392828,111667928,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Nakuru,Molo,Molo,MOLO ,32,NAKURU ,166,77027,166,Molo,68236748,97426895,103160060,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Nakuru,Njoro,Njoro,NJORO ,32,NAKURU ,167,113274,167,Njoro,79218665,114064786,120929853,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,166593720,188414052.2,202243910
Nakuru,Naivasha,Naivasha,NAIVASHA ,32,NAKURU ,168,157128,168,Naivasha,79714596,114816135,121732317,81896551.72,98189655.17,109040875.5,137367724.1,137202879.3,137088879,165705316,184129901,206554247.6,221505235
Nakuru,Gilgil,Gilgil,GILGIL ,32,NAKURU ,169,95654,169,Gilgil,73529506,105445561,111724249,81896551.72,98189655.17,109040875.5,137367724.1,137190879.3,137088879,145087603,201666082,179441954.5,192613248
Nakuru,Kuresoi South,Kuresoi South,KURESOI SOUTH,32,NAKURU ,170,66168,170,Kuresoi-South,74645444,107136238,113529945,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,175361810,170469856.7,182982585
Nakuru,Kuresoi North,Kuresoi North,KURESOI NORTH,32,NAKURU ,171,70663,171,Kuresoi-North,74237528,106518234,112869897,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Nakuru,Subukia,Subukia,SUBUKIA ,32,NAKURU ,172,55599,172,Subukia,70519933,100885980,106854472,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,131342462,166593720,161497759,173351923
Nakuru,Rongai,Rongai,RONGAI ,32,NAKURU ,173,84625,173,Rongai,72922727,104526276,110742423,81896551.72,98189655.17,109040875.5,137367724.1,137228879.3,137088879,145087603,158087629,179441954.5,192613248
Nakuru,Bahati,Bahati,BAHATI ,32,NAKURU ,174,97040,174,Bahati,72594027,104028286,110210555,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Nakuru,Nakuru Town West,Nakuru Town West,NAKURU TOWN WEST,32,NAKURU ,175,112127,175,NakuruTown-West,63139839,89704944,94912773,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,175361810,188414052.2,202243910
Nakuru,Nakuru Town East,Nakuru Town East,NAKURU TOWN EAST,32,NAKURU ,176,125551,176,NakuruTown-East,63680666,90524311,95787883,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,184138901,179441954.5,192613248
Narok,Kilgoris,Kilgoris,KILGORIS ,33,NAROK ,177,76883,177,Kilgoris,81173777,117026832,124093412,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,175361810,188414052.2,202243910
Narok,Emurua Dikirr,Emurua Dikirr,EMURUA DIKIRR,33,NAROK ,178,44040,178,Emuria-Dikirr,72410169,103749737,109913055,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,184129901,170469856.7,182982585
Narok,Narok North,Narok North,NAROK NORTH,33,NAROK ,179,88665,179,Narok-North,73705869,105712757,112009622,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,166593720,188414052.2,202243910
Narok,Narok East,Narok East,NAROK EAST,33,NAROK ,180,46535,180,Narok-East,68089445,97203728,102921711,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,184129901,170469856.7,182982585
Narok,Narok South,Narok South,NAROK SOUTH,33,NAROK ,181,76065,181,Narok-South,82149661,118505322,125672486,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,166593720,188414052.2,202243910
Narok,Narok West,Narok West,NAROK WEST,33,NAROK ,182,66596,182,Narok-West,76699789,110248624,116854072,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,184129901,170469856.7,182982585
Kajiado,Kajiado North,Kajiado North,KAJIADO NORTH,34,KAJIADO ,183,134880,183,Kajiado-North,69115807,98758692,104582462,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,166593720,179898371.5,192613248
Kajiado,Kajiado Central,Kajiado Central,KAJIADO CENTRAL,34,KAJIADO ,184,65823,184,Kajiado-Central,74542261,106979912,113362984,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Kajiado,Kajiado East,Kajiado East,KAJIADO EAST,34,KAJIADO ,185,116336,185,Kajiado-East,70219170,100430316,106367808,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179640954.5,192613248
Kajiado,Kajiado West,Kajiado West,KAJIADO WEST,34,KAJIADO ,186,75173,186,Kajiado-West,77183331,110981202,117636488,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Kajiado,Kajiado South,Kajiado South,KAJIADO SOUTH,34,KAJIADO ,187,71061,187,Kajiado-South,78964640,113679933,120518817,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Kericho,Kipkelion East,Kipkelion East,KIPKELION EAST,35,KERICHO ,188,63679,188,Kipkelion-East,72243727,103497573,109643736,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,175361810,170469856.7,182982585
Kericho,Kipkelion West,Kipkelion West,KIPKELION WEST,35,KERICHO ,189,52960,189,Kipkelion-West,72556787,103971867,110150296,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Kericho,Ainamoi,Ainamoi,AINAMOI ,35,KERICHO ,190,85024,190,Ainamoi,69786836,99775319,105668251,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,166593720,188414052.2,202243910
Kericho,Bureti,Bureti,BURETI ,35,KERICHO ,191,95320,191,Bureti,79755571,114878214,121798619,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,158832745,184129901,197386149.9,211874573
Kericho,Belgut,Belgut,BELGUT ,35,KERICHO ,192,75175,192,Belgut,71547004,102442020,108516371,81896551.72,98189655.17,109040875.5,137367724.1,137213879.3,137088879,145087603,192897991,179441954.5,192613248
Kericho,Sigowet / Soin,Sigowet / Soin,SIGOWET/SOIN ,35,KERICHO ,193,55909,193,Soin,72758187,104276993,110476181,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,175361810,170469856.7,182982585
Bomet,Sotik,Sotik,SOTIK ,36,BOMET ,194,86681,194,Sotik,83586882,120682749,127998046,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,166593720,179441954.5,192613248
Bomet,Chepalungu,Chepalungu,CHEPALUNGU ,36,BOMET ,195,80140,195,Chepalungu,87620803,126794246,134525317,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Bomet,Bomet East,Bomet East,BOMET EAST,36,BOMET ,196,63640,196,Bomet-East,78360411,112764510,119541117,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Bomet,Bomet Central,Bomet Central,BOMET CENTRAL,36,BOMET ,197,71409,197,Bomet-Central,76170798,109447189,115998113,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Bomet,Konoin,Konoin,KONOIN ,36,BOMET ,198,75115,198,Konoin,77151479,110932946,117584949,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Kakamega,Lugari,Lugari,LUGARI ,37,KAKAMEGA ,199,86908,199,Lugari,84286365,121742485,129129878,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184529901,188414052.2,202243910
Kakamega,Likuyani,Likuyani,LIKUYANI ,37,KAKAMEGA ,200,72449,200,Likuyani,77911938,112085061,118815444,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Kakamega,Malava,Malava,MALAVA ,37,KAKAMEGA ,201,94417,201,Malava,88227101,127712804,135506366,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,158832745,192897991,197386149.9,211874573
Kakamega,Lurambi,Lurambi,LURAMBI ,37,KAKAMEGA ,202,89627,202,Lurambi,72577226,104002833,110183370,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184129901,188426052.2,202243910
Kakamega,Navakholo,Navakholo,NAVAKHOLO ,37,KAKAMEGA ,203,64743,203,Navakholo,79159288,113974829,120833776,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Kakamega,Mumias West,Mumias West,MUMIAS WEST,37,KAKAMEGA ,204,53317,204,Mumias-West,70710004,101173942,107162024,81896551.72,98189655.17,109040875.5,137367724.1,137183879.3,137088879,138215033,166681720,170526856.7,182982585
Kakamega,Mumias East,Mumias East,MUMIAS EAST,37,KAKAMEGA ,205,50568,205,Mumias-East,73286606,105077562,111331214,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,131342462,157825629,161497759,173351923
Kakamega,Matungu,Matungu,MATUNGU ,37,KAKAMEGA ,206,73930,206,Matungu,81134784,116967757,124030317,81896551.72,98189655.17,109040875.5,137367724.1,137239879.3,137088879,145087603,175361810,179441954.5,192613248
Kakamega,Butere,Butere,BUTERE ,37,KAKAMEGA ,207,70224,207,Butere,79819089,114974444,121901396,81896551.72,98189655.17,109040875.5,137367724.1,137270879.3,137088879,145087603,175361810,179441954.5,192613248
Kakamega,Khwisero,Khwisero,KHWISERO ,37,KAKAMEGA ,208,55091,208,Khwisero,76654053,110179332,116780065,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Kakamega,Shinyalu,Shinyalu,SHINYALU ,37,KAKAMEGA ,209,76978,209,Shinyalu,84102728,121464271,128832736,81896551.72,98189655.17,109040875.5,137367724.1,137150879.3,137088879,151960174,184129901,188414052.2,202243910
Kakamega,Ikolomani,Ikolomani,IKOLOMANI ,37,KAKAMEGA ,210,56299,210,Ikolomani,75080891,107795950,114234538,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Vihiga,Vihiga,Vihiga,VIHIGA ,38,VIHIGA ,211,52289,211,Vihiga,67056606,95638949,101250478,81896551.72,98189655.17,109040875.5,137367724.1,137093879.3,137088879,138215033,166593720,170469856.7,182982585
Vihiga,Sabatia,Sabatia,SABATIA ,38,VIHIGA ,212,70875,212,Sabatia,67279717,95976968,101611493,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184129901,188414052.2,202243910
Vihiga,Hamisi,Hamisi,HAMISI ,38,VIHIGA ,213,80384,213,Hamisi,80682798,116282986,123298960,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,158832745,192897991,197386149.9,211874573
Vihiga,Luanda,Luanda,LUANDA ,38,VIHIGA ,214,56310,214,Luanda,69396664,99184197,105036915,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Vihiga,Emuhaya,Emuhaya,EMUHAYA ,38,VIHIGA ,215,50185,215,Emuhaya,72298219,103580130,109731909,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,131342462,157825629,161497759,173351923
Bungoma,Mt. Elgon,Mt. Elgon,MT. ELGON,39,BUNGOMA ,216,76159,216,Mt-Elgon,87818735,127094118,134845590,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184129901,188414052.2,202243910
Bungoma,Sirisia,Sirisia,SIRISIA ,39,BUNGOMA ,217,48717,217,Sirisia,74759341,107308794,113714240,81896551.72,98189655.17,109040875.5,137367724.1,137152879.3,137088879,131342462,157825629,161497759,173351923
Bungoma,Kabuchai,Kabuchai,KABUCHAI ,39,BUNGOMA ,218,67221,218,Kabuchai,79417240,114365633,121251167,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Bungoma,Bumula,Bumula,BUMULA ,39,BUNGOMA ,219,82047,219,Bumula,85034676,122876196,130340717,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,158832745,192897991,197386149.9,211874573
Bungoma,Kanduyi,Kanduyi,KANDUYI ,39,BUNGOMA ,220,118333,220,Kanduyi,90327994,130895711,138905812,81896551.72,98189655.17,109040875.5,137367724.1,137171879.3,137088879,165705316,201666082,206358247.6,221505235
Bungoma,Webuye East,Webuye East,WEBUYE EAST,39,BUNGOMA ,221,48950,221,Webuye-East,71547621,102442954,108517370,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,131342462,158487629,161613759,173351923
Bungoma,Webuye West,Webuye West,WEBUYE WEST,39,BUNGOMA ,222,58632,222,Webuye-West,77167470,110957173,117610824,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Bungoma,Kimilili,Kimilili,KIMILILI ,39,BUNGOMA ,223,61587,223,Kimilili,67959286,97006533,102711100,81896551.72,98189655.17,109040875.5,137367724.1,137098879.3,137088879,138215033,166593720,170469856.7,182982585
Bungoma,Tongaren,Tongaren,TONGAREN ,39,BUNGOMA ,224,84952,224,Tongaren,84144074,121526910,128899637,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184129901,188414052.2,202243910
Busia,Teso North,Teso North,TESO NORTH,40,BUSIA ,225,59795,225,Teso-North,78429333,112868928,119652639,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184129901,188414052.2,202243910
Busia,Teso South,Teso South,TESO SOUTH,40,BUSIA ,226,71268,226,Teso-South,82307345,118744218,125927634,81896551.72,98189655.17,109040875.5,137367724.1,137101879.3,137088879,151960174,184129901,188414052.2,202243910
Busia,Nambale,Nambale,NAMBALE ,40,BUSIA ,227,50545,227,Nambale,75112608,107844002,114285860,81896551.72,98189655.17,109040875.5,137367724.1,137183879.3,137088879,138215033,167037620,170469856.7,182982585
Busia,Matayos,Matayos,MATAYOS ,40,BUSIA ,228,67708,228,Matayos,77118704,110883290,117531915,81896551.72,98189655.17,109040875.5,137367724.1,137107879.3,137088879,145087603,175361810,179441954.5,192613248
Busia,Butula,Butula,BUTULA ,40,BUSIA ,229,67377,229,Butula,81815148,117998526,125131211,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184129901,188414052.2,202243910
Busia,Funyula,Funyula,FUNYULA ,40,BUSIA ,230,54031,230,Funyula,75763428,108830012,115338949,81896551.72,98189655.17,109040875.5,137367724.1,137233879.3,137088879,138215033,166593720,170469856.7,182982585
Busia,Budalangi,Budalangi,BUDALANGI ,40,BUSIA ,231,46032,231,Budalangi,71416710,102244621,108305543,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Siaya,Ugenya,Ugenya,UGENYA ,41,SIAYA ,232,69027,232,Ugenya,71734746,102726454,108820156,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Siaya,Ugunja,Ugunja,UGUNJA ,41,SIAYA ,233,60114,233,Ugunja,69415690,99213023,105067702,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,131342462,166593720,161497759,173351923
Siaya,Alego Usonga,Alego Usonga,ALEGO USONGA,41,SIAYA ,234,122002,234,Alego-Usonga,80470583,115961475,122955577,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,157825629,188414052.2,202243910
Siaya,Gem,Gem,GEM ,41,SIAYA ,235,93568,235,Gem,79342996,114253151,121131032,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184129901,188414052.2,202243910
Siaya,Bondo,Bondo,BONDO ,41,SIAYA ,236,104035,236,Bondo,74304713,106620021,112978608,81896551.72,98189655.17,109040875.5,137367724.1,137354879.3,137088879,151960174,184129901,188414052.2,202243910
Siaya,Rarieda,Rarieda,RARIEDA ,41,SIAYA ,237,84849,237,Rarieda,71102715,101768910,107797469,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,184129901,179441954.5,192613248
Kisumu,Kisumu East,Kisumu East,KISUMU EAST,42,KISUMU ,238,93177,238,Kisumu-East,76051617,109266625,115805266,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Kisumu,Kisumu West,Kisumu West,KISUMU WEST,42,KISUMU ,239,82927,239,Kisumu-West,76304678,109650020,116214743,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Kisumu,Kisumu Central,Kisumu Central,KISUMU CENTRAL,42,KISUMU ,240,130149,240,Kisumu-Central,63136381,89699706,94907179,81896551.72,98189655.17,109040875.5,137367724.1,137479979.3,137088879,151960174,175361810,188414052.2,202243910
