County,Constituency,Sub-County,IEBC_CN,IEBC-CC,IEBC-CN,IEBC-CONSC,VOTERS,ColCODE,ConstNAME,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Garissa,Balambala,Balambala,BALAMBALA ,7,GARISSA ,28,26085,28,Balambala,73852369,105934708,112246673,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Garissa,Lagdera,Lagdera,LAGDERA ,7,GARISSA ,29,26949,29,Lagdera,77164284,110952346,117605669,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184129901,188414052.2,202243910
Garissa,Dadaab,Dadaab,DADAAB ,7,GARISSA ,30,38185,30,Dadaab,85601198,123734492,131257403,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,151960174,184129901,188414052.2,202243910
Garissa,Fafi,Fafi,FAFI ,7,GARISSA ,31,27335,31,Fafi,75290099,108112906,114573058,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Garissa,Ijara,Ijara,IJARA ,7,GARISSA ,32,29666,32,Ijara,75022454,107707417,114139982,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Wajir,Wajir North,Wajir North,WAJIR NORTH,8,WAJIR ,33,33927,33,Wajir-North,92987961,134925630,143,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,158832745,192897991,197386149.9,211874573
Wajir,Wajir East,Wajir East,WAJIR EAST,8,WAJIR ,34,35794,34,Wajir-East,84380381,121884921,129,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Wajir,Tarbaj,Tarbaj,TARBAJ ,8,WAJIR ,35,25267,35,Tarbaj,86399989,124944680,132549923,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Wajir,Wajir West,Wajir West,WAJIR WEST,8,WAJIR ,36,31334,36,Wajir-West,81420743,117400993,124493027,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,138215033,166593720,170469856.7,182982585
Wajir,Eldas,Eldas,ELDAS ,8,WAJIR ,37,23359,37,Eldas,79553201,114571617,121471164,81896551.72,98189655.17,109040875.5,137367724.1,137304793.2,137088879,138215033,166593720,170469856.7,182982585
Wajir,Wajir South,Wajir South,WAJIR SOUTH,8,WAJIR ,38,58077,38,Wajir-South,88408820,127988112,135,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,158832745,192897991,197386149.9,211874573
Mandera,Mandera West,Mandera West,MANDERA WEST,9,MANDERA ,39,37637,39,Mandera-West,99154411,144267965,153187800,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
Mandera,Banissa,Banissa,BANISSA ,9,MANDERA ,40,32703,40,Banissa,98505464,143284792,152,81896551.72,98189655.17,109040875.5,137367724.1,137088879.3,137088879,145087603,175361810,179441954.5,192613248
